Numero d expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripcio dia setmana,Dia setmana,Descripcio tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripcio torn,Descripcio causa vianant,Numero de morts,Numero de lesionats lleus,Numero de lesionats greus,Numero de vehicles implicats,CoordenadaUTMY,CoordenadaUTMX,Long,Lat
2015S002761,2,Eixample,8,l Antiga Esquerra de l Eixample,70607,Casanova,0038 0038,Dimarts,Dm,Laboral,2015,4,Abril,14,11,Mati,No es causa del  vianant,0,1,0,2,4581954.40,429903.92,2.160521228,41.384215934
2015S003500,2,Eixample,9,la Nova Esquerra de l Eixample,100800,Diputacio,0013 0013,Divendres,Dv,Laboral,2015,5,Maig,8,11,Mati,No es causa del  vianant,0,1,0,2,4581301.73,429078.68,2.150728755,41.378265188
2015S007235,2,Eixample,9,la Nova Esquerra de l Eixample,100800,Diputacio,0026 0026,Dissabte,Ds,Laboral,2015,9,Setembre,26,23,Nit,No es causa del  vianant,0,1,0,2,4581290.96,429099.22,2.150975628,41.378169997
2015S005394,2,Eixample,9,la Nova Esquerra de l Eixample,100800,Diputacio,0026 0026,Dilluns,Dl,Laboral,2015,7,Juliol,13,15,Tarda,No es causa del  vianant,0,1,0,2,4581290.96,429099.22,2.150975628,41.378169997
2015S009878,2,Eixample,9,la Nova Esquerra de l Eixample,100800,Diputacio,0026 0026,Diumenge,Dg,Laboral,2015,12,Desembre,27,11,Mati,No es causa del  vianant,0,1,0,2,4581290.96,429099.22,2.150975628,41.378169997
2015S003016,2,Eixample,8,l Antiga Esquerra de l Eixample,90502,Corsega,0225 0225,Dimecres,Dc,Laboral,2015,4,Abril,22,10,Mati,No es causa del  vianant,0,1,0,1,4582809.44,429281.05,2.152972560,41.391862445
2015S001206,2,Eixample,8,l Antiga Esquerra de l Eixample,90502,Corsega,0227 0229,Dimarts,Dm,Laboral,2015,2,Febrer,17,13,Mati,No es causa del  vianant,0,1,0,2,4582816.47,429288.18,2.153057015,41.391926389
2015S002659,2,Eixample,8,l Antiga Esquerra de l Eixample,223606,Muntaner,0122 0122,Divendres,Dv,Laboral,2015,4,Abril,10,9,Mati,No es causa del  vianant,0,1,0,3,4582547.52,429510.82,2.155751160,41.389523602
2015S001716,2,Eixample,8,l Antiga Esquerra de l Eixample,223606,Muntaner,0174 0174,Dijous,Dj,Laboral,2015,3,Març,5,15,Tarda,No es causa del  vianant,0,1,0,2,4582818.80,429245.64,2.152547954,41.391943631
2015S003808,2,Eixample,8,l Antiga Esquerra de l Eixample,23403,Aribau,0074 0074,Diumenge,Dg,Laboral,2015,5,Maig,17,13,Mati,No es causa del  vianant,0,1,0,1,4582524.29,429721.32,2.158271396,41.389332807
